"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Chair Weekly GG Call, meeting #19 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=14f0d04d-1685-4177-8407-bcb180dbb985","Operation,Meeting,Audited,github issue","1","DONE","CallyFromAuron","","","","CallyFromAuron created on Mar 20, 2023 1:59 PM, Task completed on Mar 21, 2023 11:15 AM"
"Weekly Call MEETING_NM","https://app.dework.xyz/gsg/test-62898?taskId=46e19b88-1860-4efe-be3c-6fbfa7979667","Meeting,Operation,github issue","1","TODO","CallyFromAuron,Felix [SWARM],Nori,Stephen [QADAO][SWARM],Treasury,NaiiDz,sirwolcott [SWARM],André [Treasury Guild]",",0x065301995B09114a7E8A33c9b3cF7C777506b443,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB,,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Treasury created on Mar 20, 2023 12:28 PM"
"Miro activity list -March 2023","https://app.dework.xyz/gsg/test-62898?taskId=2c66e953-451f-4bfa-8a11-c2476e868ae1","Treasury,Operation","0","IN_PROGRESS","Treasury","","","","Treasury created on Mar 20, 2023 12:18 PM"
"Weekly Call MEETING 20","https://app.dework.xyz/gsg/test-62898?taskId=3ae815dd-c112-4fc7-b53f-3401b71800fc","Audited,github issue,Meeting,Operation","1","DONE","Treasury","","","","Treasury created on Mar 20, 2023 12:17 PM, Task completed on Mar 21, 2023 11:16 AM"
"Miro activity list - February 2023","https://app.dework.xyz/gsg/test-62898?taskId=6e12e6db-3c4f-49cc-bcf0-79f4547e5766","Operation,Treasury,github issue,Audited","0.5","DONE","Treasury","","","","Tevo Saks created on Mar 13, 2023 7:37 PM, Task completed on Mar 14, 2023 12:09 PM"
"Nori Activity List March 2023","https://app.dework.xyz/gsg/test-62898?taskId=51c65df2-c882-4fb7-a6fc-1aa8b2cc2fd5","github issue","","IN_PROGRESS","Nori","0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Nori created on Mar 13, 2023 6:49 PM"
"Nori Activity List February 2023","https://app.dework.xyz/gsg/test-62898?taskId=2eb2ece5-ba92-4c0e-b0dd-53414c62204a","github issue,Audited","","DONE","Nori","0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Nori created on Mar 13, 2023 6:39 PM, Task completed on Mar 14, 2023 12:08 PM"
"PBL - Dework Management","https://app.dework.xyz/gsg/pbl-learning-materia?taskId=f86ec82a-9bcd-4789-bcb3-3f92ee9dc667","github issue","","IN_PROGRESS","Tevo Saks","","","","Tevo Saks created on Mar 11, 2023 3:28 PM"
"Decision - Should we create meeting feedback PBL?","https://app.dework.xyz/gsg/pbl-learning-materia?taskId=d1f9bb12-3caa-44f1-9620-478f04c05917","github issue","","TODO","","","","","Tevo Saks created on Mar 11, 2023 2:54 PM"
"André activity list March 2023","https://app.dework.xyz/gsg/test-62898?taskId=9d5bbb26-bca2-4fd7-8cac-41c864908185","Implement Tools","7","IN_PROGRESS","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","André [Treasury Guild] created on Mar 10, 2023 12:22 PM"
"Vanessa activity list March 2023","https://app.dework.xyz/gsg/test-62898?taskId=1a640411-399c-4b82-82a9-6cc367c3a79d","Operation","1","IN_PROGRESS","CallyFromAuron","","","","CallyFromAuron created on Mar 7, 2023 8:56 PM"
