"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Weekly Call 16","https://app.dework.xyz/gsg/test-62898?taskId=dd7e0213-e552-48c4-88bf-f58beddc0350","Meeting,Operation,github issue","1","TODO","CallyFromAuron,Treasury,Tevo Saks,André [Treasury Guild],JP | $CardanoBeast |,sirwolcott [SWARM]",",,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2","","","Tevo Saks created on Feb 20, 2023 1:06 PM"
"Tevo Activity List - February 2023","https://app.dework.xyz/gsg/test-62898?taskId=5ef473bb-1b7a-4a6d-b3aa-cf89f0d86e73","github issue","","TODO","Tevo Saks","","","","Tevo Saks created on Feb 13, 2023 1:47 PM"
"Chair Weekly GG Call 15 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=2cf8fe10-8efc-4c9a-a68f-d9db3c7a892d","github issue,Audited,Operation,Meeting","1","DONE","sirwolcott [SWARM]","0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2","","","Treasury created on Feb 13, 2023 8:49 AM, Task completed on Feb 14, 2023 12:43 PM"
"Weekly GG Call 15","https://app.dework.xyz/gsg/test-62898?taskId=753f37f9-0611-4282-9f83-30a4ad3a66be","Operation,github issue,Meeting,Audited","1","DONE","JP | $CardanoBeast |,NaiiDz,André [Treasury Guild],sirwolcott [SWARM],Treasury,Tevo Saks,Nori,CallyFromAuron",",0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,","","","Treasury created on Feb 13, 2023 8:47 AM, Task completed on Feb 14, 2023 12:43 PM"
"Testing data for GG in the Treasury Dashboard","https://app.dework.xyz/gsg/test-62898?taskId=805c35b3-b037-4a90-8fc5-d9c920cc2122","github issue","1.5","IN_REVIEW","Treasury,André [Treasury Guild]",",0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","February 8, 2023 9:36 AM","Treasury created on Feb 8, 2023 9:32 AM"
"Chair Weekly GG Call 14 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=d283b8ec-2756-4449-beae-83600eb52e38","Operation,Meeting,Audited,github issue","1","DONE","Treasury","","","","Tevo Saks created on Feb 6, 2023 7:32 PM, Task completed on Feb 7, 2023 12:24 PM"
"Chair Weekly GG Call 13 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=5e063a73-7844-489b-85cf-8db1e90b79d2","Meeting,Audited,Operation,github issue","1","DONE","CallyFromAuron","","","","Tevo Saks created on Feb 6, 2023 7:20 PM, Task completed on Feb 7, 2023 12:24 PM"
"Weekly Call 14","https://app.dework.xyz/gsg/test-62898?taskId=c1271375-3c52-49d4-b695-da50ddac5a79","Audited,Operation,github issue,Meeting","1","DONE","Tevo Saks,Nori,André [Treasury Guild],CallyFromAuron,NaiiDz,sirwolcott [SWARM],Treasury",",0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,","","","Tevo Saks created on Feb 6, 2023 7:16 PM, Task completed on Feb 7, 2023 12:24 PM"
"Weekly Call 13","https://app.dework.xyz/gsg/test-62898?taskId=82f24e5a-bd05-47fd-86f3-8802395e7ca5","Operation,Meeting,Audited,github issue","1","DONE","CallyFromAuron,sirwolcott [SWARM],Treasury,Tevo Saks,Nori,André [Treasury Guild]",",0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Tevo Saks created on Feb 6, 2023 7:14 PM, Task completed on Feb 7, 2023 12:24 PM"
"Miro activity list - February 2023","https://app.dework.xyz/gsg/test-62898?taskId=bba6164f-d96b-46f8-8713-517d6c48b6a9","Treasury,Operation","1.5","IN_REVIEW","Treasury","","","","Treasury created on Feb 6, 2023 8:03 AM"
"André activity list - February 2023","https://app.dework.xyz/gsg/test-62898?taskId=95e3cf4f-e77f-4a6e-a52c-bb45a25950c0","github issue","8","IN_PROGRESS","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","André [Treasury Guild] created on Feb 3, 2023 8:55 AM"
"Vanessa activity list - February 2023","https://app.dework.xyz/gsg/test-62898?taskId=d0bbd436-8409-4e0c-87f1-27a0eaea8401","Operation","11","TODO","CallyFromAuron","","","","CallyFromAuron created on Jan 30, 2023 10:02 PM"
"Vanessa activity list - January 2023","https://app.dework.xyz/gsg/test-62898?taskId=f022d806-a4b4-4a0f-807c-b92669d17e3e","Operation,Audited,github issue","3.58","DONE","CallyFromAuron","","","","CallyFromAuron created on Jan 30, 2023 10:00 PM, Task completed on Jan 31, 2023 11:20 AM"
"Weekly GG Call 13","https://app.dework.xyz/gsg/test-62898?taskId=6b8e21f8-c046-4d7b-9b9f-1acd8b791d1a","Operation,Audited,github issue,Meeting","1","DONE","CallyFromAuron,André [Treasury Guild],Treasury,sirwolcott [SWARM],Tevo Saks,Nori",",0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Treasury created on Jan 30, 2023 8:59 AM, Task completed on Jan 31, 2023 11:20 AM"
"André Activity List","https://app.dework.xyz/gsg/test-62898?taskId=6adda45c-248d-4c57-82c2-8595b37df3c3","github issue,Implement Tools,Audited","1","DONE","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","André [Treasury Guild] created on Jan 25, 2023 7:57 AM, Task completed on Jan 31, 2023 11:20 AM"
"Documenting the second instalment from IOG","https://app.dework.xyz/gsg/test-62898?taskId=180da3e2-29b7-4880-937a-9014757280c8","Audited,Treasury,Operation,github issue","0.5","DONE","Treasury","","","December 12, 2022 9:23 AM","Treasury created on Jan 24, 2023 9:48 AM, Task completed on Jan 31, 2023 11:20 AM"
"Documenting the first instalment from IOG","https://app.dework.xyz/gsg/test-62898?taskId=637c6abd-af4d-42a6-b648-de80f1701da8","Audited,github issue,Treasury,Operation","0.5","DONE","Treasury","","","November 7, 2022 9:23 AM","Treasury created on Jan 24, 2023 9:43 AM, Task completed on Jan 31, 2023 11:20 AM"
"Documenting the first IOG transaction","https://app.dework.xyz/gsg/test-62898?taskId=cd9adc23-16a0-4cdf-acc5-4ec54304c815","Operation,github issue,Treasury,Audited","0.5","DONE","Treasury","","","October 27, 2022 8:23 AM","Treasury created on Jan 24, 2023 9:40 AM, Task completed on Jan 31, 2023 11:20 AM"
"Setting up Gitbook","https://app.dework.xyz/gsg/test-62898?taskId=8497c95c-871c-4b19-b236-9f757d5f0c90","Audited,Operation,github issue,Treasury","1","DONE","Treasury","","","October 25, 2022 8:23 AM","Treasury created on Jan 24, 2023 9:33 AM, Task completed on Jan 31, 2023 11:20 AM"
"Transfer GG funds to stablecoin","https://app.dework.xyz/gsg/test-62898?taskId=7e48c716-d985-4285-afa9-786261fd267e","Operation,github issue,Treasury,Audited","1","DONE","Treasury","","","November 7, 2022 9:23 AM","Treasury created on Jan 24, 2023 9:24 AM, Task completed on Jan 31, 2023 11:20 AM"
"Weekly Call 12 - 12.5 USD","https://app.dework.xyz/gsg/test-62898?taskId=aa001c3a-c668-4cda-bd76-d95049d73514","github issue,Audited,Operation,Meeting","1","DONE","André [Treasury Guild],CallyFromAuron,JP | $CardanoBeast |,NaiiDz,Treasury,Tevo Saks,Nori,sirwolcott [SWARM]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,,,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2","","","Tevo Saks created on Jan 23, 2023 9:04 PM, Task completed on Jan 24, 2023 11:37 AM"
"Naiidz Activity List","https://app.dework.xyz/gsg/test-62898?taskId=4f468e3a-d0af-4658-b039-863182ab6450","github issue,Operation,Audited","0.25","DONE","NaiiDz","0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B","","","Tevo Saks created on Jan 23, 2023 8:44 PM, Task completed on Jan 31, 2023 11:20 AM"
"Nori Activity List","https://app.dework.xyz/gsg/test-62898?taskId=5dca0b86-04d9-4105-830a-3ca894ec7174","github issue,Audited,Operation","1.5","DONE","Nori","0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Tevo Saks created on Jan 23, 2023 2:11 PM, Task completed on Jan 31, 2023 11:20 AM"
"Chair Weekly GG Call 11 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=363411b2-807e-4525-b3fc-7e7bd1cf6d53","github issue,Operation,Audited,Meeting","1","DONE","JP | $CardanoBeast |","","","","Tevo Saks created on Jan 17, 2023 3:48 PM, Task completed on Jan 24, 2023 11:37 AM"
"Weekly GG Call 11","https://app.dework.xyz/gsg/test-62898?taskId=fb4901aa-5e50-4d7d-8121-6614cc386bef","Meeting,github issue,Operation,Audited","1","DONE","JP | $CardanoBeast |,NaiiDz,CallyFromAuron,André [Treasury Guild],Nori,Felix [SWARM],Tevo Saks,Treasury,sirwolcott [SWARM]",",0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0x065301995B09114a7E8A33c9b3cF7C777506b443,,,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2","","","Tevo Saks created on Jan 17, 2023 3:47 PM, Task completed on Jan 24, 2023 11:37 AM"
"Attend Weekly GSG Call 10","https://app.dework.xyz/gsg/test-62898?taskId=e37aac07-3312-41c4-b9c9-5b27959b7ea1","Audited,Meeting,github issue,Operation","1","DONE","Nori,Felix [SWARM],JP | $CardanoBeast |,Treasury,sirwolcott [SWARM],CallyFromAuron,Tevo Saks,NaiiDz,André [Treasury Guild]","0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0x065301995B09114a7E8A33c9b3cF7C777506b443,,,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Tevo Saks created on Jan 15, 2023 3:50 PM, Task completed on Jan 17, 2023 10:40 AM"
"Attend Weekly GSG Call 9","https://app.dework.xyz/gsg/test-62898?taskId=2be17c82-62ed-4abb-9ab3-01bfa03fda02","github issue,Operation,Audited,Meeting","1","DONE","CallyFromAuron,André [Treasury Guild],JP | $CardanoBeast |,sirwolcott [SWARM],Treasury,Felix [SWARM],Nori",",0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,0x065301995B09114a7E8A33c9b3cF7C777506b443,0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Tevo Saks created on Jan 15, 2023 3:49 PM, Task completed on Jan 17, 2023 10:39 AM"
"Attend Weekly GSG Call 8","https://app.dework.xyz/gsg/test-62898?taskId=1da671f8-7ae7-45ed-8cc8-0301f251a146","Meeting,github issue,Operation,Audited","1","DONE","André [Treasury Guild],Nori,Tevo Saks,NaiiDz,Treasury,JP | $CardanoBeast |,sirwolcott [SWARM],CallyFromAuron","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,,,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,","","","Tevo Saks created on Jan 15, 2023 3:48 PM, Task completed on Jan 17, 2023 10:39 AM"
"Decision - Pay out all old tasks audited by Tevo Saks","https://app.dework.xyz/gsg/test-62898?taskId=6fadaae3-aeac-4870-b36c-2bdacaf5d920","github issue,Decision,Audited","","DONE","Felix [SWARM],NaiiDz,JP | $CardanoBeast |,CallyFromAuron,André [Treasury Guild],Nori,Tevo Saks,Treasury,sirwolcott [SWARM]","0x065301995B09114a7E8A33c9b3cF7C777506b443,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,,,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2","","","Tevo Saks created on Jan 15, 2023 3:40 PM, Task completed on Jan 17, 2023 10:39 AM"
"Chair Weekly GSG Call 10 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=b142467a-7a1d-4584-9b1b-6e6b5cba77c8","Audited,Meeting,github issue,Operation","1","DONE","Nori","0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Tevo Saks created on Jan 15, 2023 3:33 PM, Task completed on Jan 17, 2023 10:39 AM"
"Chair Weekly GSG Call 9 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=1c2db1f1-1193-461c-92ca-66f5cde6b030","Meeting,github issue,Operation,Audited","1","DONE","Felix [SWARM]","0x065301995B09114a7E8A33c9b3cF7C777506b443","","","Tevo Saks created on Jan 15, 2023 3:29 PM, Task completed on Jan 17, 2023 10:38 AM"
"Chair Weekly GSG Call 8 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=9b74da6f-166b-4cc0-8a6d-7b245c4802f1","Operation,Audited,Meeting,github issue","1","DONE","NaiiDz","0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B","","","Tevo Saks created on Jan 15, 2023 3:29 PM, Task completed on Jan 17, 2023 10:39 AM"
