"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Weekly Call 16","https://app.dework.xyz/gsg/test-62898?taskId=dd7e0213-e552-48c4-88bf-f58beddc0350","github issue,Meeting,Operation","1","TODO","CallyFromAuron,Tevo Saks,André [Treasury Guild],JP | $CardanoBeast |,sirwolcott [SWARM],Treasury",",,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,","","","Tevo Saks created on Feb 20, 2023 1:06 PM"
"Tevo Activity List - February 2023","https://app.dework.xyz/gsg/test-62898?taskId=5ef473bb-1b7a-4a6d-b3aa-cf89f0d86e73","github issue","","TODO","Tevo Saks","","","","Tevo Saks created on Feb 13, 2023 1:47 PM"
"Chair Weekly GG Call 15 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=2cf8fe10-8efc-4c9a-a68f-d9db3c7a892d","github issue,Audited,Meeting,Operation","1","DONE","sirwolcott [SWARM]","0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2","","","Treasury created on Feb 13, 2023 8:49 AM, Task completed on Feb 14, 2023 12:43 PM"
"Weekly GG Call 15","https://app.dework.xyz/gsg/test-62898?taskId=753f37f9-0611-4282-9f83-30a4ad3a66be","Audited,Meeting,github issue,Operation","1","DONE","sirwolcott [SWARM],JP | $CardanoBeast |,CallyFromAuron,André [Treasury Guild],Tevo Saks,Nori,Treasury,NaiiDz","0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B","","","Treasury created on Feb 13, 2023 8:47 AM, Task completed on Feb 14, 2023 12:43 PM"
"Testing data for GG in the Treasury Dashboard","https://app.dework.xyz/gsg/test-62898?taskId=805c35b3-b037-4a90-8fc5-d9c920cc2122","github issue","1.5","IN_REVIEW","André [Treasury Guild],Treasury","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,","","February 8, 2023 9:36 AM","Treasury created on Feb 8, 2023 9:32 AM"
"Chair Weekly GG Call 14 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=d283b8ec-2756-4449-beae-83600eb52e38","Audited,Meeting,github issue,Operation","1","DONE","Treasury","","","","Tevo Saks created on Feb 6, 2023 7:32 PM, Task completed on Feb 7, 2023 12:24 PM"
"Chair Weekly GG Call 13 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=5e063a73-7844-489b-85cf-8db1e90b79d2","github issue,Operation,Audited,Meeting","1","DONE","CallyFromAuron","","","","Tevo Saks created on Feb 6, 2023 7:20 PM, Task completed on Feb 7, 2023 12:24 PM"
"Weekly Call 14","https://app.dework.xyz/gsg/test-62898?taskId=c1271375-3c52-49d4-b695-da50ddac5a79","Meeting,Audited,Operation,github issue","1","DONE","CallyFromAuron,sirwolcott [SWARM],Treasury,Tevo Saks,Nori,André [Treasury Guild],NaiiDz",",0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B","","","Tevo Saks created on Feb 6, 2023 7:16 PM, Task completed on Feb 7, 2023 12:24 PM"
"Weekly Call 13","https://app.dework.xyz/gsg/test-62898?taskId=82f24e5a-bd05-47fd-86f3-8802395e7ca5","Meeting,Audited,Operation,github issue","1","DONE","Tevo Saks,Nori,André [Treasury Guild],CallyFromAuron,Treasury,sirwolcott [SWARM]",",0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2","","","Tevo Saks created on Feb 6, 2023 7:14 PM, Task completed on Feb 7, 2023 12:24 PM"
"Miro activity list - February 2023","https://app.dework.xyz/gsg/test-62898?taskId=bba6164f-d96b-46f8-8713-517d6c48b6a9","Treasury,Operation","1.5","IN_REVIEW","Treasury","","","","Treasury created on Feb 6, 2023 8:03 AM"
"André activity list - February 2023","https://app.dework.xyz/gsg/test-62898?taskId=95e3cf4f-e77f-4a6e-a52c-bb45a25950c0","github issue","8","IN_PROGRESS","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","André [Treasury Guild] created on Feb 3, 2023 8:55 AM"
"Vanessa activity list - February 2023","https://app.dework.xyz/gsg/test-62898?taskId=d0bbd436-8409-4e0c-87f1-27a0eaea8401","Operation","11","TODO","CallyFromAuron","","","","CallyFromAuron created on Jan 30, 2023 10:02 PM"
"Vanessa activity list - January 2023","https://app.dework.xyz/gsg/test-62898?taskId=f022d806-a4b4-4a0f-807c-b92669d17e3e","Audited,Operation,github issue","3.58","DONE","CallyFromAuron","","","","CallyFromAuron created on Jan 30, 2023 10:00 PM, Task completed on Jan 31, 2023 11:20 AM"
"PBL - Decision Making","https://app.dework.xyz/gsg/pbl-learning-materia?taskId=6bf97465-b4ac-428b-ade2-5db20ceb1de3","github issue","","IN_PROGRESS","Nori","0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Nori created on Jan 30, 2023 7:29 PM"
"Weekly GG Call 13","https://app.dework.xyz/gsg/test-62898?taskId=6b8e21f8-c046-4d7b-9b9f-1acd8b791d1a","github issue,Audited,Meeting,Operation","1","DONE","Tevo Saks,Treasury,sirwolcott [SWARM],Nori,CallyFromAuron,André [Treasury Guild]",",,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Treasury created on Jan 30, 2023 8:59 AM, Task completed on Jan 31, 2023 11:20 AM"
"André Activity List","https://app.dework.xyz/gsg/test-62898?taskId=6adda45c-248d-4c57-82c2-8595b37df3c3","Audited,github issue,Implement Tools","1","DONE","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","André [Treasury Guild] created on Jan 25, 2023 7:57 AM, Task completed on Jan 31, 2023 11:20 AM"
"Documenting the second instalment from IOG","https://app.dework.xyz/gsg/test-62898?taskId=180da3e2-29b7-4880-937a-9014757280c8","Audited,Treasury,github issue,Operation","0.5","DONE","Treasury","","","December 12, 2022 9:23 AM","Treasury created on Jan 24, 2023 9:48 AM, Task completed on Jan 31, 2023 11:20 AM"
"Documenting the first instalment from IOG","https://app.dework.xyz/gsg/test-62898?taskId=637c6abd-af4d-42a6-b648-de80f1701da8","Audited,Operation,github issue,Treasury","0.5","DONE","Treasury","","","November 7, 2022 9:23 AM","Treasury created on Jan 24, 2023 9:43 AM, Task completed on Jan 31, 2023 11:20 AM"
